Moon Name	Document Title	Document Content	Source URL
Io	Volcanic Activity on Io	Io is the most volcanically active world in the Solar System, with hundreds of volcanoes, some erupting lava fountains dozens of kilometers high	https://science.nasa.gov/jupiter/moons/io
Europa	Europa's Ocean Potential	Scientists believe a saltwater ocean exists beneath Europa's icy surface, making it a prime candidate for potential extraterrestrial life	https://europa.nasa.gov
Ganymede	Largest Moon in Solar System	Ganymede is the largest moon in our solar system and the only moon known to have its own magnetic field	https://solarsystem.nasa.gov/moons/jupiter-moons/ganymede
Callisto	Callisto's Cratered Surface	Callisto is the most heavily cratered object in the solar system, preserving a record of impacts from the early solar system	https://science.nasa.gov/jupiter/moons/callisto
Amalthea	Red Moon Discovery	Amalthea is one of Jupiter's smaller moons, notable for its reddish color and irregular shape	https://solarsystem.nasa.gov/moons/jupiter-moons/amalthea
Thebe	Small Inner Moon	Thebe orbits Jupiter in the inner satellite group, completing an orbit every 0.6745 days	https://nssdc.gsfc.nasa.gov/planetary
Metis	Innermost Moon	Metis is the innermost known moon of Jupiter, orbiting at an average distance of 128,000 kilometers	https://science.nasa.gov/jupiter/moons
Adrastea	Shepherd Moon	Adrastea helps maintain Jupiter's thin ring system through gravitational interactions	https://solarsystem.nasa.gov/moons/jupiter-moons
Himalia	Irregular Satellite	Himalia is the largest member of the prograde irregular satellites of Jupiter	https://nssdc.gsfc.nasa.gov/planetary
Elara	Irregular Moon Characteristics	Elara is one of Jupiter's outer moons, belonging to the Himalia group of irregular satellites	https://science.nasa.gov/jupiter/moons
Io	Tidal Heating Study	Io's intense volcanic activity is powered by tidal heating from friction generated within its interior as it is pulled between Jupiter and other Galilean moons	https://science.nasa.gov/jupiter/moons/io
Io	Surface Composition	Io's surface is primarily composed of sulfur dioxide frost, with silicate rock and iron sulfide deposits around volcanic vents	https://solarsystem.nasa.gov/moons/jupiter-moons/io
Io	Plasma Torus Research	Io creates a plasma torus around Jupiter's orbit, contributing to the planet's intense radiation environment	https://science.nasa.gov/jupiter/moons/io
Europa	Ice Shell Thickness	Recent studies suggest Europa's ice shell might be 10-30 kilometers thick, overlying an ocean 60-150 kilometers deep	https://europa.nasa.gov
Europa	Surface Features	Europa's surface is marked by a complex array of cracks and ridges, suggesting active geological processes	https://science.nasa.gov/jupiter/moons/europa
Europa	Plume Activity	Hubble Space Telescope observations have detected possible water vapor plumes erupting from Europa's surface	https://hubblesite.org
Ganymede	Magnetic Field Studies	Ganymede's magnetic field is thought to be generated by a liquid iron core, similar to Earth's magnetic field	https://science.nasa.gov/jupiter/moons/ganymede
Ganymede	Surface Terrain Analysis	Ganymede's surface shows both ancient dark regions and younger, grooved terrain, indicating a complex geological history	https://solarsystem.nasa.gov/moons/jupiter-moons/ganymede
Ganymede	Subsurface Ocean Research	Scientists believe Ganymede harbors a deep, salty ocean beneath its icy crust, potentially containing more water than all of Earth's oceans	https://science.nasa.gov/jupiter/moons/ganymede
Callisto	Interior Structure	Unlike other Galilean moons, Callisto may be only partially differentiated, with a possible subsurface ocean	https://solarsystem.nasa.gov/moons/jupiter-moons/callisto
Callisto	Impact Basin Studies	The Valhalla impact basin on Callisto is one of the largest impact structures in the solar system	https://science.nasa.gov/jupiter/moons/callisto
Callisto	Surface Composition	Callisto's surface is primarily water ice mixed with rock and carbon-based compounds	https://nssdc.gsfc.nasa.gov/planetary
Amalthea	Shape and Density	New observations indicate Amalthea has a very low density, suggesting it might be a rubble pile held together by gravity	https://science.nasa.gov/jupiter/moons/amalthea
Amalthea	Surface Features Study	The moon's major surface features include two large craters named Pan and Gaea	https://solarsystem.nasa.gov/moons/jupiter-moons/amalthea
Thebe	Orbital Dynamics	Thebe's orbit is affected by Jupiter's powerful gravitational field, causing slight variations in its path	https://science.nasa.gov/jupiter/moons/thebe
Metis	Ring Interaction Study	Metis contributes material to Jupiter's ring system through micrometeoroid impacts on its surface	https://solarsystem.nasa.gov/moons/jupiter-moons/metis
Himalia	Group Dynamics	The Himalia group consists of several moons sharing similar orbital characteristics, suggesting a common origin	https://science.nasa.gov/jupiter/moons/himalia
Lysithea	Irregular Satellite Study	Lysithea is part of the Himalia group, with a prograde orbit at a high inclination	https://solarsystem.nasa.gov/moons/jupiter-moons
Elara	Physical Properties	Elara's surface appears to be very dark, reflecting only about 3% of the sunlight that hits it	https://science.nasa.gov/jupiter/moons/elara
Pasiphae	Retrograde Orbit Analysis	Pasiphae orbits Jupiter in a retrograde direction, suggesting it may be a captured asteroid	https://solarsystem.nasa.gov/moons/jupiter-moons
Sinope	Orbital Characteristics	Sinope has one of the most inclined orbits of Jupiter's known moons	https://science.nasa.gov/jupiter/moons/sinope
Carme	Group Properties	The Carme group includes several small moons that share similar orbital characteristics	https://solarsystem.nasa.gov/moons/jupiter-moons
Ananke	Origin Studies	Ananke is thought to be the remnant of an asteroid capture event	https://science.nasa.gov/jupiter/moons/ananke
Leda	Size Measurements	Leda is one of Jupiter's smaller known moons, with an estimated diameter of less than 10 kilometers	https://solarsystem.nasa.gov/moons/jupiter-moons
Thyone	Discovery History	Thyone was discovered in 2001 during a systematic search for outer Jupiter moons	https://science.nasa.gov/jupiter/moons/thyone
Carpo	Unique Orbit	Carpo has a unique orbit that sets it apart from other Jovian moons in its size range	https://solarsystem.nasa.gov/moons/jupiter-moons
Euporie	Discovery Details	Euporie was discovered as part of a large group of irregular satellites found in 2001	https://science.nasa.gov/jupiter/moons
Orthosie	Orbital Period Study	Orthosie takes approximately 622 days to complete one orbit around Jupiter	https://solarsystem.nasa.gov/moons/jupiter-moons
Sponde	Size Estimation	Sponde is estimated to be about 2 kilometers in diameter, making it one of Jupiter's smallest known moons	https://science.nasa.gov/jupiter/moons
Kale	Group Classification	Kale belongs to the Carme group of irregular satellites, sharing similar orbital characteristics	https://solarsystem.nasa.gov/moons/jupiter-moons
Pasithee	Retrograde Motion	Pasithee orbits Jupiter in a retrograde direction at an average distance of 23 million kilometers	https://science.nasa.gov/jupiter/moons
Hegemone	Physical Characteristics	Hegemone is a small irregular satellite with an estimated radius of less than 1.5 kilometers	https://solarsystem.nasa.gov/moons/jupiter-moons
Mneme	Origin Theory	Mneme is believed to be a fragment from a larger body that was broken apart by a collision	https://science.nasa.gov/jupiter/moons
Aoede	Distance Analysis	Aoede orbits at an average distance of 23.8 million kilometers from Jupiter	https://solarsystem.nasa.gov/moons/jupiter-moons
Thelxinoe	Group Member	Thelxinoe is part of the Ananke group, suggesting a common origin with other group members	https://science.nasa.gov/jupiter/moons
Arche	Orbital Inclination	Arche's orbit is highly inclined relative to Jupiter's equatorial plane	https://solarsystem.nasa.gov/moons/jupiter-moons
Io	Radiation Environment	Io is exposed to intense radiation from Jupiter's magnetosphere, affecting its surface chemistry	https://science.nasa.gov/jupiter/moons/io
Europa	Radiation Chemistry	Jupiter's intense radiation creates unique chemical compounds on Europa's surface	https://europa.nasa.gov
